170,Harga termurah untuk tipe ini. Sudah dapat grid juga.
171,barang bagus dan pelayanan cepat. makasiii seller
172,DISKON TOKONYA MUANTAP
173,Respon dan penanganan problem dari DOSS sangat baik dan dapat dipercaya
174,"Pengiriman cepat, aman, sat set pokoknya, dapet special promo juga jadi harga nya paling murah se-Tokped, Toppp deh belanja di doss"
175,"Bagus, belom dicoba tapi semoga cocok🙏"
176,"sepertinya ini original dan masih tahap percobaan , semoga awet dan bandel"
177,Barang sesuai deskripsi. Recommended seller!!!
178,"Mantap barang sampai dengan aman, dan kualitas barang bagus banget, berfungsi dengan baik, semoga awet, thnks admin 🙏"
179,"Klo pas promo, harga DOSS tidak ada lawan, udah paling murah, CS nya enak diajak diskusi, barangnya top banget... Barang NEW bergaransi resmi, harga second, top deh...."
180,Terimakasih banyak yaaaaa
181,barang yang diterima sesuai dengan yang dipesan.... semoga awet... terimakasih
182,"kamera ke 3 beli di doss, selalu aman, pembelian kali ini di kasih bonus charger, semoga kameranya awet dan kalau upgrade lagi nanti yakin bakal ambil lagi dari doss :)"
183,"Barang sampai dengan aman, packinging sangar rapi dan adminya ramah sekali."
184,Cepat. Build Quality Oke. Mantap.
185,Mancappp.Cepet satset
186,cleaner berfungsi dengan baik. mantaaap 👍👍
187,"Barang sih oke, original, sempat ragu sama packing tipis banget, kemasan tak cacat sih, semoga awet deh"
188,"cepat sampenya, barang berfungsi normal pas di cek tadi, aman sih, packingnya aman 👍🏻👍🏻"
189,Pelayabab baik kalau kualitas Canon dah pada tau lah yah
190,"packingnya aman, rapi barang juga bagus aman dan rapi"
191,"komunatif sellernya, gercep, rekomendes...."
192,"Barang bagus, bisa ambil langsung di toko, harga kompetitif, top markotop"
193,barang bagus sesuai deskripsi..packing aman..mantap
194,"led lightny bagus buat harganya , lampuny terang dan mantap buat foto, packingny premium dan oke banget warna warninya"
195,Nice…cuma masih bingung mslh garansi
196,"mantap, pengiriman cepat"
197,Terbaik…. Pokonya ….
198,"barang diterima dengan selamat, kualitas oke lah, cukup cepat walaupun bukan yang tercepat,  tapi sudah cukup bagi saya"
199,mantap sih.Ga pernah kecewa belanja di doss. Dari pelayanan sama qualitas barang tetap terbaik. Admin nya juga super sabar dalam melayani pertanyaan-pertanyaan pelanggan
200,mantap
201,barang paling top kalau dari toko doss 🔥😎
202,"Oke banget, tapi sayang dusnya penyok”"
203,Pembelian dilakukan langsung di toko tapi bayarnya bisa melalui online shop. Jadi merasa terlindungi.
204,Selalu puas belanja di sini. Emang TOP!
205,MANTAAAAP!
206,Mantap. Semoga awet dan dapat digunakan sesuai ekspektasi. Thank you.
207,sesuai jadwal dan barangnya sesuai juga 👍
208,"Pengalaman pertama beli Kamera baru! Customer Service DOSS di Tokped kece sih! Gercep dan membantu di setiap responnya. Perihal barang, ada sedikit drama di ekspedisi bu... "
209,bekerja dengan baik di strava andorid dan jam amazfit trex 2
210,Akhirnya punya filter HdanY juga 😅💪 Beli dari toko langganan yang sudah tak perlu diragukan; baik belanja online maupun saat offline 👍
211,Transfer data dari CFEXPRESS Exascend Vigor cepat
